Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
EMX,2,0,-97.03,0,-780.64,1,565.91,0,-16.18,-33.32,0.0,807.16,1.0
ENSV,1,0,-82.38,0,-137.64,0,-77.19,0,-95.96,-1016.87,0.0,-27.25,0.0
ENSV,2,0,-204.24,0,-99.31,0,-576.19,0,-69.66,-92.02,0.0,-41.06,0.0
EPM,1,2,376.97,0,-10232.56,2,218.31,0,-623.75,-254.16,0.0,-176.31,0.0
EPM,2,0,-178.75,0,-101.87,0,-217.76,0,-67.0,-453.04,0.0,-112.17,0.0
ESP,1,0,-136.18,0,-172.38,0,-141.82,0,-211.41,181.6,2.0,-98.49,0.0
ESP,2,1,419.76,0,-112.51,1,737.59,0,-72.56,-71.22,0.0,-115.05,0.0
EVBN,1,0,-91.35,2,0.79,0,-91.35,2,0.79,-64.25,0.0,-94.39,0.0
EVBN,2,1,297.18,0,-13.53,1,297.18,0,-13.53,-40.41,0.0,292.54,1.0
EVI,1,0,-61.83,0,-89.27,2,181.2,0,-93.72,-100.0,0.0,-554.37,0.0
EVI,2,0,-50.57,0,-44.21,0,-31.58,0,-12.45,-185.04,0.0,-287.91,0.0
FRD,1,2,476.72,0,-368.35,2,119.81,0,-144.19,-0.0,0.0,-767.79,0.0
FRD,2,0,-102.51,0,-99.44,0,-267.07,0,-2.42,-64.44,0.0,-87.54,0.0
FTSI,1,2,235.57,0,-619.42,2,110.94,0,-1042.69,-64.35,0.0,-107.83,0.0
FTSI,2,0,-1080.67,0,-99.41,0,-1344.67,0,-97.0,-222.42,0.0,1613.98,1.0
GDP,1,2,212.86,0,-77.87,2,153.48,0,-63.95,-58.34,0.0,449.21,2.0
GDP,2,0,-36.03,1,33.89,0,-54.26,1,30.9,-1264.38,0.0,214.4,1.0
GORO,1,2,934.89,2,139.93,2,507.26,2,271.79,-66.67,0.0,-134.03,0.0
GORO,2,0,-4.19,0,-122.4,0,-14.46,0,-85.54,-199.98,0.0,1128.56,1.0
GPL,1,0,-87.94,2,642.67,0,-62.25,2,3565.09,-107.04,0.0,-35.71,0.0
GPL,2,1,3.33,0,-114.45,1,247.17,0,-324.58,-31.8,0.0,-625.01,0.0
GTE,1,2,381.16,0,-130.68,2,194.07,0,-115.23,-93.36,0.0,-114.48,0.0
GTE,2,0,-24.07,0,-22.94,0,-85.54,0,-0.74,-73.57,0.0,549.83,1.0
GV,1,0,-123.29,2,1028.5,0,-79.76,2,44.89,-111.26,0.0,188.86,2.0
GV,2,1,200.44,0,-86.37,1,267.04,1,268.09,827.57,1.0,-11.62,0.0
